asin,ISBN10,brand,image_url,title,categories
525541918,525541918,Kiley Reid,"https://images-na.ssl-images-amazon.com/images/I/51jSLj2XzBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Such a Fun Age,"[""Books"",""Literature & Fiction"",""United States""]"
525553363,525553363,Vashti Harrison,"https://images-na.ssl-images-amazon.com/images/I/51tjnvwfLvL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Hair Love,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
547251270,54725127,Linda Sue Park,"https://images-na.ssl-images-amazon.com/images/I/41rUpaiHARL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",A Long Walk to Water: Based on a True Story,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593192575,593192575,Michael Todd,"https://images-na.ssl-images-amazon.com/images/I/41nSmJzwh-L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","Relationship Goals: How to Win at Dating, Marriage, and Sex","[""Books"",""Self-Help"",""Relationships""]"
593193024,593193024,Matthew Paul Turner,"https://images-na.ssl-images-amazon.com/images/I/61VcuPxJZDL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",When God Made You,"[""Books"",""Children's Books"",""Literature & Fiction""]"
525559477,525559477,Matt Haig,"https://images-na.ssl-images-amazon.com/images/I/51Ifl1zXhJL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Midnight Library: A Novel,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction""]"
547577095,547577095,Lois Lowry,"https://images-na.ssl-images-amazon.com/images/I/31BFi8Tc2bL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Number the Stars,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
547577311,547577311,Linda Sue Park,"https://images-na.ssl-images-amazon.com/images/I/41MoNf5-4nL._SY291_BO1,204,203,200_QL40_ML2_.jpg",A Long Walk to Water: Based on a True Story,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593199308,593199308,Jim Butcher,"https://images-na.ssl-images-amazon.com/images/I/51h-2g2Vs8L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Battle Ground (Dresden Files),"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
593199316,593199316,Jim Butcher,"https://images-na.ssl-images-amazon.com/images/I/51sliGjwLWS._SY291_BO1,204,203,200_QL40_ML2_.jpg",Battle Ground (Dresden Files),"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
593203399,593203399,by Mary Shelley (Author),"https://images-na.ssl-images-amazon.com/images/I/51knzWqq0WL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Frankenstein,"[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]"
525562621,525562621,Margaret Atwood,"https://images-na.ssl-images-amazon.com/images/I/41rGlpvyRbL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Testaments: A Novel (The Handmaid's Tale),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
525562648,525562648,Robert Kolker,"https://images-na.ssl-images-amazon.com/images/I/51s+M6jHpfL._SY344_BO1,204,203,200_.jpg",Hidden Valley Road: Inside the Mind of an American Family,"[""Books"",""Biographies & Memoirs"",""Professionals & Academics""]"
525563709,525563709,Dan Brown,"https://images-na.ssl-images-amazon.com/images/I/51nwmurvS4L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Origin: A Novel (Robert Langdon),"[""Books"",""Literature & Fiction"",""Action & Adventure""]"
525564209,525564209,Oyinkan Braithwaite,"https://images-na.ssl-images-amazon.com/images/I/51427-YUaXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","My Sister, the Serial Killer: A Novel","[""Books"",""Humor & Entertainment"",""Humor""]"
547928181,547928181,J.R.R. Tolkien,"https://images-na.ssl-images-amazon.com/images/I/41mPE6eQG3L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",The Hobbit and The Lord of the Rings,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
